年度,學號,
106,04151147,"S,I,C"
106,04151151,"S,I"
106,04151152,"C,E"
106,04151153,"C,S,I"
106,04151154,"R,C,I"
106,04151156,"C,S"
106,04151158,"E,A,I,S"
106,04151181,"C,I,R,S"
106,04151182,"A,C,I"
106,04151183,"E,A,S"
106,04151184,"E,A,C"
106,04151185,"E,A,I"
106,04151186,"R,S"
106,04151187,"I,C"
106,04151203,"C,E,I"
106,04151204,"E,I"
106,04151205,"E,A,S"
106,04151206,"A,I,S"
106,04151208,"C,I,S"
106,04151210,"S,C,E"
106,04151213,"S,A,E"
106,04151214,"C,I,S"
106,04151216,"C,S,E"
106,04151217,"C,I,R"
106,04151218,"C,R,I"
106,04151219,"S,I"
106,04151221,"E,S,C"
106,04151222,"E,R"
106,04151224,"C,S"
106,04151225,"C,E"
106,04151235,"C,R,S"
106,04151237,"C,I,R"
106,04151238,"I,S,C"
106,04151241,"E,C,S"
106,04151243,"C,I,S"
106,04151245,"A,I,E"
106,04151248,"E,C,S"
106,04151250,"E,C,S"
106,04151251,"S,I,R"
106,04151252,"E,A,I"
106,04151254,"C,S,I"
106,04151255,"I,E"
106,04151283,"C,E,I"
106,04151284,"C,A,I"
106,04151286,"C,A,I"
106,04151290,"C,E,R"
106,04151302,"C,E"
106,04151303,"C,R,I"
106,04151309,"E,C,A"
106,04151315,"C,I"
106,04151323,"I,C"
106,04151326,"C,E,S"
106,04151327,"A,I"
106,04151329,"E,A,S"
106,04151331,"A,R,C"
106,04151337,A
106,04151338,"C,A"
106,04151341,"C,I,R"
106,04151345,"C,S"
106,04151346,"A,C,I,R"
106,04151353,"C,I,R"
106,04151354,"R,C,E,S"
106,04151358,"C,R,E"
106,04151374,"S,A,C,E"
106,04151382,"I,R,C"
106,04151501,"A,E"
106,04151602,"C,I,R"
106,04152101,"C,I,S"
106,04152102,"C,R"
106,04152103,C
106,04152104,"A,C,E"
106,04152105,"R,C"
106,04152106,"C,E"
106,04152107,"C,S"
106,04152109,"A,C,E"
106,04152110,"I,A,S"
106,04152111,"E,R,A"
106,04152112,"S,C,E"
106,04152113,"C,I,E"
106,04152114,"C,S"
106,04152115,"R,C,I"
106,04152116,"C,E,R"
106,04152117,"A,S,R"
106,04152118,"C,A,E"
106,04152119,"E,I,R"
106,04152120,"C,E,I,S"
106,04152121,"C,A,S"
106,04152122,"C,E,R"
106,04152123,"C,E,R"
106,04152124,"C,R,E"
106,04152125,"E,R"
106,04152126,"R,I"
106,04152127,"S,A,E"
106,04152128,"S,E"
106,04152129,"E,S"
106,04152130,"C,A,R"
106,04152131,"A,S,E"
106,04152132,"C,R,E"
106,04152134,"E,S,A"
106,04152135,"C,E,I,S"
106,04152136,"A,E,S"
106,04152137,"R,S,I"
106,04152138,"E,S,C"
106,04152139,"C,I,R,S"
106,04152140,"C,R,I"
106,04152141,"A,S,E"
106,04152143,"I,C,R"
106,04152144,"I,C"
106,04152145,"A,S,R"
106,04152146,"S,C,E"
106,04152148,"C,R"
106,04152149,"C,A,S"
106,04152150,"C,I,R"
106,04152151,"C,I"
106,04152152,"C,E,I,R"
106,04152153,"C,E"
106,04152154,"A,S"
106,04152155,"C,A"
106,04152156,"I,R,C"
106,04152157,"C,I,R"
106,04152158,"E,C,S"
106,04152172,"C,S,R"
106,04152181,"C,I,S"
106,04152182,"I,R"
106,04152203,"C,A,E"
106,04152204,"I,E,R"
106,04152205,"C,R,A"
106,04152206,"C,R,E"
106,04152207,"C,R"
106,04152208,"C,A,R"
106,04152209,"S,C"
106,04152211,"C,S,E"
106,04152212,"R,I,C"
106,04152213,"E,C,A"
106,04152214,"C,I,E"
106,04152215,"C,A"
106,04152216,"I,C,E"
106,04152217,"C,I,E"
106,04152218,"C,S,I"
106,04152219,"C,E,S"
106,04152220,"R,I"
106,04152222,"A,R,S"
106,04152223,"C,I"
106,04152225,"C,S"
106,04152226,"C,E,S"
106,04152227,"C,E"
106,04152229,"C,E,I"
106,04152230,"C,S,R"
